;x
able;1
access;2
according;1
across;2
act;2
action;1
active;1
activities;1
addition;1
address;1
almost;1
along;1
already;2
analysis;2
approach;2
approaches;2
appropriate;1
area;2
areas;1
argue;1
argued;1
art;2
aspects;2
associated;1
attention;2
authority;2
back;1
basis;1
beginning;1
best;1
beyond;2
bring;1
broader;1
brought;1
building;2
buildings;2
built;1
called;1
came;1
cases;1
central;1
centre;2
certain;2
challenge;1
challenges;1
change;1
changes;1
clear;1
clearly;1
common;3
complex;2
concepts;1
concern;1
concerned;1
concerns;1
consider;1
considered;1
construction;1
contexts;1
continue;1
council;2
countries;2
country;2
course;1
create;1
created;1
creating;1
creation;1
critical;4
current;1
day;1
debate;1
decades;1
described;1
despite;1
develop;2
developed;1
developing;1
dialogue;1
directly;1
discussed;1
discussion;1
discussions;1
diverse;1
diversity;2
earlier;1
education;1
efforts;1
either;1
elsewhere;1
emphasis;1
end;1
environment;1
established;1
europe;3
european;5
events;1
examples;1
existing;1
experiences;1
expressed;1
fact;2
far;1
field;1
finally;1
focus;2
focused;1
following;1
former;2
forms;2
framework;1
full;1
future;2
general;1
give;1
given;2
global;2
good;1
great;1
greater;1
growing;1
hand;1
held;1
help;1
high;1
idea;3
ideas;2
impact;1
importance;1
include;1
included;1
including;2
increasingly;2
individual;1
individuals;1
information;2
instead;1
institutions;2
intangible;3
interest;2
interests;1
interpretation;2
introduction;1
involved;2
issue;1
key;2
kind;1
known;1
lack;1
landscape;3
language;1
large;1
largely;1
last;1
late;2
later;1
least;1
led;1
level;2
limited;1
linked;1
literature;1
little;1
living;1
longer;1
look;1
major;1
makes;1
matter;1
meaning;1
means;1
members;2
memory;2
monuments;2
move;1
movement;1
multiple;1
nation;3
nations;2
natural;2
necessary;1
needs;2
never;1
noted;1
notes;1
notion;1
number;2
object;2
old;1
open;1
order;2
original;2
others;1
outside;2
paper;2
particularly;2
perhaps;1
period;2
personal;1
perspective;1
physical;2
play;1
point;2
policies;2
policy;3
politics;2
population;2
position;1
possible;1
potential;2
practices;3
presence;2
presented;1
preserve;1
processes;2
produced;1
production;1
projects;2
protection;3
provide;1
provided;1
provides;1
put;1
questions;1
range;2
real;1
reasons;1
received;1
recent;2
recently;1
recognition;2
regional;2
related;1
relation;1
relations;2
relationship;1
relevant;1
remain;1
remains;1
represent;1
representation;1
resource;1
resources;2
respect;1
response;1
result;1
right;1
scholars;1
second;2
self;1
series;1
several;2
share;1
shared;1
significant;1
similar;1
simply;1
situation;1
small;1
something;1
sometimes;1
source;1
south;2
specific;1
states;3
status;1
story;1
structure;1
structures;2
studies;4
study;2
subject;1
suggest;1
support;2
system;2
take;1
taken;1
taking;1
term;1
things;3
think;2
thinking;1
though;1
thought;1
three;1
throughout;1
times;1
today;2
together;2
took;1
tourism;2
towards;2
traditions;1
turn;1
understand;1
understood;1
unesco;3
unique;1
united;2
university;1
using;1
values;3
various;2
view;1
war;2
western;2
whether;1
whole;1
whose;1
without;1
working;1
works;1
year;1
