;x
1;heritage
2;cultural
3;museum
4;one
5;past
6;culture
7;people
8;property
9;national
10;history
11;new
12;world
13;social
14;public
15;museums
16;time
17;objects
18;sites
19;work
20;space
21;identity
22;historical
23;american
24;research
25;material
26;part
27;archaeological
28;even
29;however
30;native
31;historic
32;archaeology
33;present
34;important
35;process
36;first
37;local
38;rights
39;example
40;community
41;place
42;preservation
43;different
44;state
45;groups
46;international
47;indigenous
48;two
49;human
50;development
51;group
52;rather
53;often
54;particular
55;sense
56;life
57;city
58;australia
59;site
60;places
61;use
62;century
63;conservation
64;political
65;value
66;power
67;knowledge
68;colonial
69;now
70;management
71;popular
72;become
73;made
74;case
75;ways
76;used
77;economic
78;contemporary
79;discourse
80;modern
81;project
82;form
83;claims
84;traditional
85;government
86;practice
87;role
88;ainu
89;article
90;experience
91;question
92;concept
93;understanding
94;nature
95;society
96;communities
97;issues
98;town
99;context
100;terms
